Product SKU	Product Name	Product Description	Model	Category	Type
24525832	Kleenex Antiviral Facial Tissue, 4 Boxes/Pack	Kleenex Antiviral Facial Tissue, 3-ply, 55 Tissues/Box, 4 Boxes/Pack (54506)	54506	Inventory	Personal
24547868	Scrubbing bubbles Bubbly Bleach Gel Disinfecting Toilet Bowl Cleaner, Rainshower Scent, 24 Oz. (309106)	Scrubbing bubbles Bubbly Bleach Gel Disinfecting Toilet Bowl Cleaner, Rainshower Scent, 24 Oz. (309106)		Inventory	Personal
24549771	Sharpie S-Gel Retractable Gel Pen, Medium Point, Assorted Ink, Dozen (2129832)	Sharpie S-Gel Retractable Gel Pen, Medium Point, Assorted Ink, Dozen (2129832)	2129832	Office Supplies	Business
24552240	Cascade Original ActionPacs Dishwashing Detergent, 105 Pods/Box	Cascade Original ActionPacs Dishwashing Detergent, Fresh Scent, 105 Pods/Box (3700028028)	3700028028	Inventory	Personal
24561375	Cascade Platinum Plus ActionPacs Dishwashing Detergent Pods, 47 Pods/Box	Cascade Platinum Plus ActionPacs Dishwashing Detergent Pods, Fresh Scent, 47 Pods/Box (57893/6156)	57893/6156	Inventory	Personal
24562505	Dawn Platinum Dish Soap, Refreshing Rain, 54.8 fl. oz., 2/Pack (04504)	Dawn Platinum Liquid Dish Soap, Refreshing Rain, 54.8 oz., 2/Pack (04504)	4504	Inventory	Personal
24563597	$200 Visa Gift Card	$200 Visa Gift Card with $7.95 Purchase Fee		Inventory	Personal
24564427	Dunkin' Original Blend Coffee Keurig K-Cup Pods, 176/Case	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 176/Case (006933)	006933CT	Inventory	Personal
24566070	Altec Lansing Kid-Safe ANC Wired/Wireless Headphones	Altec Lansing Kid-Safe ANC Wired/Wireless Active Noise Canceling On-Ear, Bluetooth, Blackout Electric Purple (MZX4500-BOPUR)	MZX4500-BOPUR	Inventory	Personal
24572587	j5create 5.9' USB C to USB C Power Cable	j5create 5.9' USB C to USB C Power Cable, Male to Male, Black (JUCX25L18)	JUCX25L18	Inventory	Business
24573908	j5create 65W USB-C 2-Port GaN PD Charger	j5create 65W USB-C 2-Port GaN PD Charger, White (JUP2465)	JUP2465	Inventory	Business
24573914	j5create 100W USB Type-C Charger, Black (JUP2290C)	j5create 100W USB Type-C Charger, Black (JUP2290C)	JUP2290C	Inventory	Business
24579067	TRU RED™ 8.5" x 11" Copy Paper, 20 lbs., 92 Brightness, 600 Sheets/Ream, 6 Reams/Carton (TR62091)	TRU RED™ 8.5" x 11" Copy Paper, 20 lbs., 92 Brightness, 600 Sheets/Ream, 6 Reams/Carton (TR62091)	TR62091	Office Supplies	Business
24580006	Bose QuietComfort Wireless Noise Canceling Earbuds	Bose QuietComfort Wireless Noise Canceling Earbuds, Black (882826-0010)	882826-0010	Inventory	Personal
24580025	Apple AirPods Pro (2nd Generation)	Apple AirPods Pro (2nd Generation) with MagSafe Charging Case USB‑C, White (MTJV3LL/A)	MTJV3LL/A	Inventory	Personal
24580119	2025 At-A-Glance Abstract Weekly/Monthly Planner	2025 At-A-Glance 8.5" x 11" Weekly/Monthly Planner, Abstract, (AYC52045)	AYC52045	Office Supplies	Personal
24581798	3Brand Russell Wilson Pro Nike Laptop Backpack	3Brand Russell Wilson Pro Nike Laptop Backpack, Medium, Black/Green (9AT047-023)	9AT047-023	Inventory	Personal
24583375	PlayStation 5 Slim Spider-Man 2 Bundle	PlayStation 5 Slim Spider-Man 2 Bundle		Inventory	Personal
24584663	Staples TECH USB-C to USB-C Charging Cable, 6.5 ft.	Staples TECH USB-C to USB-C Charging Cable, 6.5 ft., White (ST62335)	ST62335	Inventory	Business
24584664	Staples TECH USB-C to USB-C Charging Cable, 9.8 ft.	Staples TECH USB-C to USB-C Charging Cable, 9.8 ft., White (ST62336)	ST62336	Inventory	Business
24585052	Staples ProGel Retractable Gel Pen, Blue	Staples ProGel™ Retractable Gel Pen, Fine Point, 0.7mm, Blue Ink (ST62342)	ST62342-CC	Office Supplies	Business
24589050	Sharpie Stick Highlighter, Yellow, 4/Pack	Sharpie Stick Highlighter, Chisel Tip, Yellow, 4/Pack (1770695)	1770695	Office Supplies	Business
24590699	Astrobrights Colored Paper, 24 lbs., 8.5" x 11", Assorted Galactic Blues, 100 Sheets/Ream (91529)	Astrobrights Colored Paper, 24 lbs., 8.5" x 11", Assorted Galactic Blues, 100 Sheets/Ream (91529)	91529	Office Supplies	Business
24590914	Pokémon Trading Cards	Pokémon Trading Cards		Inventory	Personal
24591315	Bose QuietComfort Wireless Noise Cancelling Headphones	Bose QuietComfort Bluetooth Wireless Active Noise Cancelling Over-the-Ear Headphones, Black (884367-0100)	884367-0100	Inventory	Personal
24592535	360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Powder	360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Powder (3E0793-PDW8NA)	3E0793-PDW8NA	Inventory	Business
24592536	360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Granite	360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Granite (3E0793-GRG8NA)	3E0793-GRG8NA	Inventory	Business
24592780	Skittles Gummies Original, 5.8 oz	Skittles Gummies Original, 5.8 oz		Inventory	Personal
24592783	Extra Polar Ice Sugar-Free Gum, 15 sticks	Extra Polar Ice Sugar-Free Gum, 15 sticks		Inventory	Personal
24592784	Extra Peppermint Sugar-Free Gum, 15 sticks	Extra Peppermint Sugar-Free Gum, 15 sticks		Inventory	Personal
24592836	HP LaserJet Pro MFP 3301fdw Wireless Color All-In-One Laser Printer	HP LaserJet Pro MFP 3301fdw Wireless Color All-In-One Laser Printer, Print, Scan, Copy, Fax, Best for Office (499Q5F)	499Q5F#BGJ	Office Supplies	Business
24593284	Greenmade 27-Gallon Storage Tote, Black	Greenmade 27-Gallon Storage Tote, Black		Inventory	Business
24595414	Original HP 218X Black High-yield Toner Cartridge, print up to 3,200 pages (W2180X)	HP 218X Black High Yield Toner Cartridge, Prints Up to 3200 Pages (W2180X)	W2180X	Office Supplies	Business
24596385	Hershey's Milk Chocolate Bar, 1.55 oz	Hershey's Milk Chocolate Bar, 1.55 oz		Inventory	Personal
24599156	Flipside Tri-Fold Project Board, 48" x 36", Corrugated Paper, White, 4/Pack (18042)	Flipside Tri-Fold Project Board, 48" x 36", Corrugated Paper, White, 4/Pack (18042)	18042	Office Supplies	Business
24600082	Scotch Box Lock Heavy Duty Packing Tape, 8/Pack	Scotch Box Lock Heavy Duty Packing Tape, 1.88" x 38.2 yds., Clear, 8/Pack (3950S-6-2BR6GC)	3950S-6-2BR6GC	Office Supplies	Business
24608319	Dunkin' Original Blend Coffee, Ground, 12 oz	Dunkin' Original Blend Coffee, Ground, 12 oz		Inventory	Personal
24612191	Sour Patch Kids Bulk, 5 lbs	Sour Patch Kids Bulk, 5 lbs		Inventory	Personal
24612526	Samsonite Proxis 22" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Honey Gold (141845-6856)	Samsonite Proxis 22" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Honey Gold (141845-6856)	141845-6856	Inventory	Personal
24612530	Samsonite Proxis 31" Hardside Suitcase, 8-Wheeled Spinner, Silver (141847-1776)	Samsonite Proxis 31" Hardside Suitcase, 8-Wheeled Spinner, Silver (141847-1776)	141847-1776	Inventory	Personal
24612532	Samsonite Proxis 32" Hardside Suitcase, 8-Wheeled Spinner, Black (141848-1041)	Samsonite Proxis 32" Hardside Suitcase, 8-Wheeled Spinner, Black (141848-1041)	141848-1041	Inventory	Personal
24612534	Samsonite Proxis 22" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Pretol Blue (141845-1686)	Samsonite Proxis 22" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Pretol Blue (141845-1686)	141845-1686	Inventory	Personal
24615808	TurboTax Home & Business 2024	TurboTax Home & Business 2024 for 1 User, Windows/Mac, Product Key Card (5109009)	5109009	Office Supplies	Business
24626384	Five Star Poly Composition Notebook	Five Star Poly Composition Notebook		Office Supplies	Personal
24631634	Scotch Sure Start Packing Tape, 1.88" x 54.6 yds., Clear (3450)	Scotch Sure Start Packing Tape, 1.88" x 54.6 yds., Clear (3450)	3450	Office Supplies	Business
24645505	Post-it Super Sticky Notes, Assorted Bright Colors, 8 Pads/Pack	Post-it Super Sticky Notes, 3" x 3", Assorted Bright Colors, 70 Sheets/Pad, 8 Pads/Pack (654-8SSAP)	654-8SSAP	Office Supplies	Business
24646699	PNY Attaché 3 16GB USB 2.0 Flash Drive	PNY Attaché 3 16GB USB 2.0 Type A Flash Drive, Black (P-FD16GATT3-BG)	P-FD16GATT3-BG	Inventory	Business
