Product SKU	Product Name	Product Description	Model	Category	Type
503573	Duracell Coppertop 9V Alkaline Battery, 4/Pack	Duracell Coppertop 9V Alkaline Battery, 4/Pack (MN16RT4Z)	MN16RT4Z	Inventory	Business
505711	Ticonderoga Wooden Pencil, #2, 24/Pack	Ticonderoga The World's Best Pencil Wooden Pencil, 2.2mm, #2 Soft Lead, 24/Pack (X13924X)	X13924X	Office Supplies	Business
517212	DYMO LetraTag 16952 Label Maker Tape	DYMO LetraTag 16952 Label Maker Tape, 1/2" x 13', Black on Clear (16952)	16952	Office Supplies	Business
596837	Prismacolor Premier Colored Pencils, 24/Pack	Prismacolor Premier Colored Pencils, 24/Pack		Office Supplies	Personal
616319	CloroxPro Disinfecting Wipes, Fresh Scent, 75 Wipes	CloroxPro Disinfecting Wipes, Fresh Scent, 75 Wipes/Container (15949)	15949	Inventory	Business
616321	CloroxPro Disinfecting Wipes, Lemon Fresh, 75 Wipes	CloroxPro Disinfecting Wipes, Lemon Fresh, 75 Wipes/Container (15948)	15948	Inventory	Business
648822	Staples 2" 3-Ring Better Binder, D-Ring, Black (ST55871-CC)	Staples 2" 3-Ring Better Binder, D-Ring, Black (ST55871-CC)	ST55871-CC	Office Supplies	Business
658961	Staples 1-Subject Composition Notebooks, 3.25" x 4.5", College Ruled, 80 Sheets, Assorted Colors, 2/Pack (ST17501C)	Staples 1-Subject Composition Notebooks, 3.25" x 4.5", College Ruled, 80 Sheets, Assorted Colors, 2/Pack (ST17501C)	ST17501C	Office Supplies	Business
712654	BioTuf 6064 Gallon Compostable Industri	BioTuf 60-64 Gallon Compostable Industrial Trash Bag, 47" x 60", Low Density, 1 Mil, Green, 5 Rolls (Y9460YE R01)	Y9460YE R01	Inventory	Business
742293	16" x 12" x 10" Shipping Box	16" x 12" x 10" Shipping Box, 32 ECT, Brown (10023)	ST55961	Inventory	Business
742295	24" x 10" x 16" Shipping Boxes	24" x 10" x 16" Shipping Boxes (ST55963)	ST55963	Inventory	Business
750834	Scotch Heavy Duty Packing Tape, 18/Pack	Scotch Heavy Duty Packing Tape, 1.88" x 54.6 yds., Clear, 18/Pack (385018CP)	385018CP	Office Supplies	Business
777587	Staples Personal Folding Table, 25.5"L x 17.8"W, Gray (79143)	Staples® 25.5" x 17.8" Heavy Duty Folding Table, White Granite (79143)	79143	Office Supplies	Business
784551	Logitech M325S Wireless Ambidextrous Optical USB Mouse, Black (910-006825)	Logitech M325S Wireless Ambidextrous Optical USB Mouse, Black (910-006825)	910-007523	Office Supplies	Business
812375	Scott Essential Recycled Coreless Toilet Paper, 2-Ply, White, 1000 Sheets/Roll, 36 Rolls/Case (04007)	Scott Essential Recycled Coreless Toilet Paper, 2-Ply, White, 1000 Sheets/Roll, 36 Rolls/Case (04007)	4007	Inventory	Business
865670	Green Mountain Dark Magic Coffee Keurig K-Cup Pods, 96/Carton	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 96/Carton (4061)	4061	Inventory	Personal
866681	Scotch-Brite Non-Scratch Dishwand Refill, Blue, 2/Pack (483-12)	Scotch-Brite Non-Scratch Dishwand Refill, Blue, 2/Pack (483-12)	483-12	Inventory	Personal
897518	Scotch Heavy Duty Packing Tape, 6/Pack	Scotch Heavy Duty Packing Tape, 1.88" x 43.7 yds., Clear, 6/Pack (3850-40-6)	3850-40-6	Office Supplies	Business
901974	Evian Natural Spring Water, 12 Bottles/Pack	Evian Natural Spring Water, 33.8 oz., 12 Bottles/Pack (EVI10000)	EVI10000	Inventory	Personal
901988	Staples #10 1/2 Kraft Catalog Envelope, 10/Pack	Staples #10 1/2 Kraft Catalog Envelope, 9" x 12", Kraft, 10/Pack (SPL901988)	SPL901988	Office Supplies	Business
912462	Staples 1-Subject Composition Notebook, Wide Ruled	Staples 1-Subject Composition Notebook, 7.5" x 9.75", Wide Ruled, 100 Sheets, Color chosen at random (ST55077C)	ST55077C	Office Supplies	Business
919350	Staples 1-Subject Composition Notebook, 7.5" x 9.75", College Ruled, 100 Sheets, Black (ST55064C)	Staples 1-Subject Composition Notebook, 7.5" x 9.75", College Ruled, 100 Sheets, Black (ST55064C)	ST55064C	Office Supplies	Business
927192	Sony Headphones, Black (MDRZX110/BLK)	Sony Headphones, Black (MDRZX110/BLK)	MDRZX110/BLK	Inventory	Personal
952621	Brother LC103 Black High Yield Ink Cartridge (LC103BKS)	Brother LC103 Black High Yield Ink Cartridge (LC103BKS)	LC103BKS	Office Supplies	Business
1306463	Staples 3" 3-Ring Non-View Binder, Red (ST26589-CC)	Staples 3" 3-Ring Non-View Binder, Red (ST26589-CC)		Office Supplies	Business
1508051	Style Edge Instant Pockets	Style Edge Instant Pockets		Office Supplies	Business
1635472	Green Mountain Dark Magic Coffee Keurig K-Cup Pods, 48/Box	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 48/Box (81911/15171)	5000356566	Inventory	Personal
1666504	Cafe Bustelo 100% Colombian Coffee Keurig K-Cup Pods, 24/Box	Cafe Bustelo 100% Colombian Coffee Keurig® K-Cup® Pods, Medium Roast, 24/Box (6107)	5000330301	Inventory	Personal
1668032	Lysol Mold & Mildew Remover, 1 Quart, Trigger Spray Bottle (1920078915)	Lysol Mold & Mildew Remover, 1 Quart, Trigger Spray Bottle (1920078915)	1920078915	Inventory	Business
1669041	6.75 x 9 Self-Sealing Bubble Mailer	6.75 x 9 Self-Sealing Bubble Mailer (56563)	ST56563	Office Supplies	Business
1989257	12" x 9" x 9" Shipping Boxes	12" x 9" x 9" Shipping Boxes (ST55968)	ST55968	Inventory	Business
1990399	HP 65 Black Standard Yield Ink Cartridge (N9K02AN#140)	HP 65 Black Standard Yield Ink Cartridge, Prints Up to 120 Pages (N9K02AN#140)	N9K02AN#140	Office Supplies	Business
2056103	Prismacolor Manga Colored Pencils, 8/Pack	Prismacolor Manga Colored Pencils, 8/Pack		Office Supplies	Personal
2087610	Hasbro Grab & Go Game	Hasbro® Grab & Go Game, Assorted (B1004)	B1004	Inventory	Personal
2091512	Dunkin' Original Blend Coffee Keurig K-Cup Pods, 44/Box	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570	Inventory	Personal
2097860	Five Star 2-Pocket Fastener Folder	Five Star 2-Pocket Fastener Folder, Assorted Colors (34030)	34030	Office Supplies	Business
2244739	Brother P-Touch PTM95 Portable Label Maker	Brother P-Touch PTM95 Portable Label Maker	PTM95	Office Supplies	Business
2400385	Staples Plus Membership	Staples Plus Membership	CLUBMEM.COM	Inventory	Business
2440104	CloroxPro Tilex Disinfecting Instant Mold and Mildew Remover Spray, 9/Pack	CloroxPro Tilex Disinfecting Instant Mold and Mildew Remover Spray, 32 Fluid Ounces, Pack of 9 (35600)	35600CT	Inventory	Business
2518072	Dunkin' Original Blend Coffee Keurig K-Cup Pods, 22/Box	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 22/Box (400845)	5000380509	Inventory	Personal
2548675	Rocketbook Wave Smart Notebook	Rocketbook Wave 1-Subject Smart Notebook, 8.5" x 9.5", Dotted, 40 Sheets, Blue (WAV-S-K-A)	WAV-S-K-A	Office Supplies	Personal
2638592	Sharpie Magnum Tank Permanent Marker, Chisel Tip, Black, 12/Pack (44001A)	Sharpie Magnum Tank Permanent Marker, Chisel Tip, Black, 12/Pack (44001A)	44001A	Office Supplies	Business
2646682	Dunkin' Original Blend Coffee Keurig K-Cup Pods, 88/Carton	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 88/Carton (400845)	400845	Inventory	Personal
2711216	Duracell 2450 3V Lithium Coin Battery	Duracell 2450 Lithium Battery (DL2450BPK)	DL2450BPK	Inventory	Business
